Date,Download,Total,Monthly
2021-03-01T21:30:51,0,1950431,0
2021-03-02T03:06:17,0,1950431,0
2021-03-02T09:34:44,0,1950431,0
2021-03-02T21:33:47,63300,2013731,63300
2021-03-03T09:44:06,0,2013731,63300
2021-03-03T21:34:36,0,2013731,63300
2021-03-04T09:38:51,0,2013731,63300
2021-03-04T21:34:48,0,2013731,63300
2021-03-05T09:38:44,0,2013731,63300
2021-03-05T21:34:39,0,2013731,63300
2021-03-06T09:34:48,0,2013731,63300
2021-03-06T21:29:39,0,2013731,63300
2021-03-07T09:38:39,0,2013731,63300
2021-03-07T21:34:24,0,2013731,63300
2021-03-08T09:38:54,0,2013731,63300
2021-03-08T21:30:37,0,2013731,63300
2021-03-09T09:39:50,0,2013731,63300
2021-03-09T21:30:38,0,2013731,63300
2021-03-10T09:34:47,0,2013731,63300
2021-03-10T21:30:43,0,2013731,63300
2021-03-11T09:35:16,0,2013731,63300
2021-03-11T21:30:44,0,2013731,63300
2021-03-12T09:38:56,114898,2128629,178198
2021-03-12T21:30:35,0,2128629,178198
2021-03-13T09:34:24,0,2128629,178198
2021-03-13T21:30:43,0,2128629,178198
2021-03-14T09:34:44,0,2128629,178198
2021-03-14T21:29:51,49205,2177834,227403
2021-03-15T09:38:52,0,2177834,227403
2021-03-15T22:35:49,6423,2184257,233826
2021-03-16T09:32:55,0,2184257,233826
