Date,Download,Total,Monthly
2019-01-01T09:00:00,313,19028,313
2019-01-02T09:00:00,735,19763,1048
2019-01-03T09:00:00,450,20213,1498
2019-01-04T09:00:00,360,20573,1858
2019-01-05T09:00:00,809,21382,2667
2019-01-06T09:00:00,776,22158,3443
2019-01-07T09:00:00,538,22696,3981
2019-01-08T09:00:00,338,23034,4319
2019-01-09T09:00:00,344,23378,4663
2019-01-10T09:00:00,291,23669,4954
2019-01-11T09:00:00,418,24087,5372
2019-01-12T09:00:00,479,24566,5851
2019-01-13T09:00:00,1168,25734,7019
2019-01-14T09:00:00,541,26275,7560
2019-01-15T09:00:00,634,26909,8194
2019-01-16T09:00:00,952,27861,9146
2019-01-17T09:00:00,724,28585,9870
2019-01-18T09:00:00,506,29091,10376
2019-01-19T09:00:00,601,29692,10977
2019-01-20T09:00:00,848,30540,11825
2019-01-21T09:00:00,839,31379,12664
2019-01-22T09:00:00,439,31818,13103
2019-01-23T09:00:00,440,32258,13543
2019-01-24T09:00:00,782,33040,14325
2019-01-25T09:00:00,562,33602,14887
2019-01-26T09:00:00,608,34210,15495
2019-01-27T09:00:00,759,34969,16254
2019-01-28T09:00:00,792,35761,17046
2019-01-29T09:00:00,472,36233,17518
2019-01-30T09:00:00,383,36616,17901
2019-01-31T09:00:00,372,36988,18273
