Date,Download,Total,Monthly
2018-11-10T09:00:00,59,7483,59
2018-11-11T09:00:00,125,7608,184
2018-11-12T09:00:00,90,7698,274
2018-11-13T09:00:00,56,7754,330
2018-11-14T09:00:00,42,7796,372
2018-11-15T09:00:00,56,7852,428
2018-11-16T09:00:00,46,7898,474
2018-11-17T09:00:00,113,8011,587
2018-11-18T09:00:00,73,8084,660
2018-11-19T09:00:00,108,8192,768
2018-11-20T09:00:00,84,8276,852
2018-11-21T09:00:00,97,8373,949
2018-11-22T09:00:00,88,8461,1037
2018-11-23T09:00:00,118,8579,1155
2018-11-24T09:00:00,212,8791,1367
2018-11-25T09:00:00,224,9015,1591
2018-11-26T09:00:00,110,9125,1701
2018-11-27T09:00:00,91,9216,1792
2018-11-28T09:00:00,71,9287,1863
2018-11-29T09:00:00,67,9354,1930
2018-11-30T09:00:00,78,9432,2008
