Date,Download,Total,Monthly
2020-03-01T09:00:00,4754,1006490,4754
2020-03-02T09:00:00,3546,1010036,8300
2020-03-03T09:00:00,3706,1013742,12006
2020-03-04T09:00:00,3677,1017419,15683
2020-03-05T09:00:00,3669,1021088,19352
2020-03-06T09:00:00,3882,1024970,23234
2020-03-07T09:00:00,5081,1030051,28315
2020-03-08T09:00:00,4486,1034537,32801
2020-03-09T09:00:00,3075,1037612,35876
2020-03-10T09:00:00,2993,1040605,38869
2020-03-11T09:00:00,3667,1044272,42536
2020-03-12T09:00:00,3504,1047776,46040
2020-03-13T09:00:00,4873,1052649,50913
2020-03-14T09:00:00,5767,1058416,56680
2020-03-15T09:00:00,6021,1064437,62701
2020-03-16T09:00:00,5166,1069603,67867
2020-03-17T09:00:00,5314,1074917,73181
2020-03-18T09:00:00,5106,1080023,78287
2020-03-19T09:00:00,5076,1085099,83363
2020-03-20T09:00:00,4967,1090066,88330
2020-03-21T09:00:00,5658,1095724,93988
2020-03-22T09:00:00,5734,1101458,99722
2020-03-23T09:00:00,4897,1106355,104619
2020-03-24T09:00:00,4882,1111237,109501
2020-03-25T09:00:00,5261,1116498,114762
2020-03-26T09:00:00,5013,1121511,119775
2020-03-27T09:00:00,4715,1126226,124490
2020-03-28T09:00:00,4685,1130911,129175
2020-03-29T09:00:00,4540,1135451,133715
2020-03-30T09:00:00,4211,1139662,137926
2020-03-31T09:00:00,5103,1144765,143029
