Date,Download,Total,Monthly
2019-04-01T09:00:00,381,73992,381
2019-04-02T09:00:00,348,74340,729
2019-04-03T09:00:00,265,74605,994
2019-04-04T09:00:00,434,75039,1428
2019-04-05T09:00:00,531,75570,1959
2019-04-06T09:00:00,1153,76723,3112
2019-04-07T09:00:00,783,77506,3895
2019-04-08T09:00:00,461,77967,4356
2019-04-09T09:00:00,418,78385,4774
2019-04-10T09:00:00,344,78729,5118
2019-04-11T09:00:00,360,79089,5478
2019-04-12T09:00:00,460,79549,5938
2019-04-13T09:00:00,588,80137,6526
2019-04-14T09:00:00,539,80676,7065
2019-04-15T09:00:00,396,81072,7461
2019-04-16T09:00:00,315,81387,7776
2019-04-17T09:00:00,311,81698,8087
2019-04-18T09:00:00,324,82022,8411
2019-04-19T09:00:00,1091,83113,9502
2019-04-20T09:00:00,827,83940,10329
2019-04-21T09:00:00,665,84605,10994
2019-04-22T09:00:00,860,85465,11854
2019-04-23T09:00:00,687,86152,12541
2019-04-24T09:00:00,791,86943,13332
2019-04-25T09:00:00,613,87556,13945
2019-04-26T09:00:00,635,88191,14580
2019-04-27T09:00:00,714,88905,15294
2019-04-28T09:00:00,676,89581,15970
2019-04-29T09:00:00,472,90053,16442
2019-04-30T09:00:00,410,90463,16852
