Date,Download,Total,Monthly
2019-12-01T09:00:00,4873,649341,4873
2019-12-02T09:00:00,3182,652523,8055
2019-12-03T09:00:00,2868,655391,10923
2019-12-04T09:00:00,2959,658350,13882
2019-12-05T09:00:00,2961,661311,16843
2019-12-06T09:00:00,3399,664710,20242
2019-12-07T09:00:00,4284,668994,24526
2019-12-08T09:00:00,3980,672974,28506
2019-12-09T09:00:00,2615,675589,31121
2019-12-10T09:00:00,2700,678289,33821
2019-12-11T09:00:00,2855,681144,36676
2019-12-12T09:00:00,2832,683976,39508
2019-12-13T09:00:00,4137,688113,43645
2019-12-14T09:00:00,5334,693447,48979
2019-12-15T09:00:00,4842,698289,53821
2019-12-16T09:00:00,3651,701940,57472
2019-12-17T09:00:00,3847,705787,61319
2019-12-18T09:00:00,3527,709314,64846
2019-12-19T09:00:00,3491,712805,68337
2019-12-20T09:00:00,3875,716680,72212
2019-12-21T09:00:00,4296,720976,76508
2019-12-22T09:00:00,4244,725220,80752
2019-12-23T09:00:00,3637,728857,84389
2019-12-24T09:00:00,3274,732131,87663
2019-12-25T09:00:00,3259,735390,90922
2019-12-26T09:00:00,4516,739906,95438
2019-12-27T09:00:00,4353,744259,99791
2019-12-28T09:00:00,4303,748562,104094
2019-12-29T09:00:00,4710,753272,108804
2019-12-30T09:00:00,4427,757699,113231
2019-12-31T09:00:00,4346,762045,117577
