Date,Download,Total,Monthly
2019-10-01T09:00:00,3515,424728,3515
2019-10-02T09:00:00,3140,427868,6655
2019-10-03T09:00:00,11453,439321,18108
2019-10-04T09:00:00,7020,446341,25128
2019-10-05T09:00:00,7468,453809,32596
2019-10-06T09:00:00,4781,458590,37377
2019-10-07T09:00:00,4160,462750,41537
2019-10-08T09:00:00,6704,469454,48241
2019-10-09T09:00:00,3915,473369,52156
2019-10-10T09:00:00,3649,477018,55805
2019-10-11T09:00:00,4116,481134,59921
2019-10-12T09:00:00,6636,487770,66557
2019-10-13T09:00:00,7025,494795,73582
2019-10-14T09:00:00,4556,499351,78138
2019-10-15T09:00:00,3375,502726,81513
2019-10-16T09:00:00,2987,505713,84500
2019-10-17T09:00:00,2723,508436,87223
2019-10-18T09:00:00,3019,511455,90242
2019-10-19T09:00:00,4243,515698,94485
2019-10-20T09:00:00,4321,520019,98806
2019-10-21T09:00:00,3129,523148,101935
2019-10-22T09:00:00,2947,526095,104882
2019-10-23T09:00:00,2751,528846,107633
2019-10-24T09:00:00,2579,531425,110212
2019-10-25T09:00:00,2447,533872,112659
2019-10-26T09:00:00,3493,537365,116152
2019-10-27T09:00:00,3398,540763,119550
2019-10-28T09:00:00,2391,543154,121941
2019-10-29T09:00:00,2026,545180,123967
2019-10-30T09:00:00,1963,547143,125930
2019-10-31T09:00:00,1897,549040,127827
