Date,Download,Total,Monthly
2021-03-01T21:30:54,4,4432,4
2021-03-02T03:06:20,2,4434,6
2021-03-02T09:34:48,1,4435,7
2021-03-02T21:33:51,2,4437,9
2021-03-03T09:44:09,6,4443,15
2021-03-03T21:34:39,4,4447,19
2021-03-04T09:38:55,3,4450,22
2021-03-04T21:34:52,2,4452,24
2021-03-05T09:38:47,2,4454,26
2021-03-05T21:34:42,4,4458,30
2021-03-06T09:34:51,5,4463,35
2021-03-06T21:29:42,2,4465,37
2021-03-07T09:38:42,5,4470,42
2021-03-07T21:34:27,7,4477,49
2021-03-08T09:38:57,8,4485,57
2021-03-08T21:30:40,6,4491,63
2021-03-09T09:39:54,1,4492,64
2021-03-09T21:30:41,4,4496,68
2021-03-10T09:34:50,6,4502,74
2021-03-10T21:30:46,3,4505,77
2021-03-11T09:35:19,1,4506,78
2021-03-11T21:30:50,2,4508,80
2021-03-12T09:38:59,3,4511,83
2021-03-12T21:30:38,4,4515,87
2021-03-13T09:34:27,7,4522,94
2021-03-13T21:30:46,4,4526,98
2021-03-14T09:34:48,3,4529,101
