Date,Download,Total,Monthly
2021-02-21T05:04:29,0,2907,0
2021-02-21T21:28:19,4,2911,4
2021-02-22T09:27:50,3,2914,7
2021-02-22T21:29:20,2,2916,9
2021-02-23T09:33:52,1,2917,10
2021-02-23T21:29:44,1,2918,11
2021-02-24T09:37:59,0,2918,11
2021-02-24T21:29:31,0,2918,11
2021-02-25T09:38:16,1,2919,12
2021-02-25T21:29:40,0,2919,12
2021-02-26T09:33:26,2,2921,14
2021-02-26T21:29:24,1,2922,15
2021-02-27T09:32:51,0,2922,15
2021-02-27T21:29:19,2,2924,17
2021-02-28T09:33:04,4,2928,21
2021-02-28T21:28:59,2,2930,23
