Date,Download,Total,Monthly
2020-02-01T09:00:00,1493,138476,1493
2020-02-02T09:00:00,1369,139845,2862
2020-02-03T09:00:00,1041,140886,3903
2020-02-04T09:00:00,1259,142145,5162
2020-02-05T09:00:00,1272,143417,6434
2020-02-06T09:00:00,1154,144571,7588
2020-02-07T09:00:00,1455,146026,9043
2020-02-08T09:00:00,1731,147757,10774
2020-02-09T09:00:00,2219,149976,12993
2020-02-10T09:00:00,1240,151216,14233
2020-02-11T09:00:00,1129,152345,15362
2020-02-12T09:00:00,1396,153741,16758
2020-02-13T09:00:00,1458,155199,18216
2020-02-14T09:00:00,1376,156575,19592
2020-02-15T09:00:00,1536,158111,21128
2020-02-16T09:00:00,1513,159624,22641
2020-02-17T09:00:00,1655,161279,24296
2020-02-18T09:00:00,1136,162415,25432
2020-02-19T09:00:00,1079,163494,26511
2020-02-20T09:00:00,1002,164496,27513
2020-02-21T09:00:00,1452,165948,28965
2020-02-22T09:00:00,2580,168528,31545
2020-02-23T09:00:00,2346,170874,33891
2020-02-24T09:00:00,2043,172917,35934
2020-02-25T09:00:00,1861,174778,37795
2020-02-26T09:00:00,1948,176726,39743
2020-02-27T09:00:00,1839,178565,41582
2020-02-28T09:00:00,1714,180279,43296
2020-02-29T09:00:00,2147,182426,45443
