Date,Download,Total,Monthly
2020-04-01T09:00:00,3742,290302,3742
2020-04-02T09:00:00,3742,294044,7484
2020-04-03T09:00:00,4064,298108,11548
2020-04-04T09:00:00,4363,302471,15911
2020-04-05T09:00:00,3880,306351,19791
2020-04-06T09:00:00,4523,310874,24314
2020-04-07T09:00:00,4758,315632,29072
2020-04-08T09:00:00,4255,319887,33327
2020-04-09T09:00:00,4176,324063,37503
2020-04-10T09:00:00,4150,328213,41653
2020-04-11T09:00:00,4147,332360,45800
2020-04-12T09:00:00,4206,336566,50006
2020-04-13T09:00:00,4286,340852,54292
2020-04-14T09:00:00,4706,345558,58998
2020-04-15T09:00:00,4008,349566,63006
2020-04-16T09:00:00,3694,353260,66700
2020-04-17T09:00:00,4391,357651,71091
2020-04-18T09:00:00,5556,363207,76647
2020-04-19T09:00:00,4651,367858,81298
2020-04-20T09:00:00,4546,372404,85844
2020-04-21T09:00:00,4272,376676,90116
2020-04-22T09:00:00,4320,380996,94436
2020-04-23T09:00:00,4066,385062,98502
2020-04-24T09:00:00,4162,389224,102664
2020-04-25T09:00:00,4817,394041,107481
2020-04-26T09:00:00,4469,398510,111950
2020-04-27T09:00:00,3960,402470,115910
2020-04-28T09:00:00,4144,406614,120054
2020-04-29T09:00:00,4351,410965,124405
2020-04-30T09:00:00,4542,415507,128947
