Date,Download,Total,Monthly
2019-04-01T09:00:00,60,25201,60
2019-04-02T09:00:00,64,25265,124
2019-04-03T09:00:00,185,25450,309
2019-04-04T09:00:00,84,25534,393
2019-04-05T09:00:00,67,25601,460
2019-04-06T09:00:00,84,25685,544
2019-04-07T09:00:00,88,25773,632
2019-04-08T09:00:00,73,25846,705
2019-04-09T09:00:00,49,25895,754
2019-04-10T09:00:00,69,25964,823
2019-04-11T09:00:00,75,26039,898
2019-04-12T09:00:00,76,26115,974
2019-04-13T09:00:00,76,26191,1050
2019-04-14T09:00:00,91,26282,1141
2019-04-15T09:00:00,51,26333,1192
2019-04-16T09:00:00,59,26392,1251
2019-04-17T09:00:00,55,26447,1306
2019-04-18T09:00:00,49,26496,1355
2019-04-19T09:00:00,64,26560,1419
2019-04-20T09:00:00,74,26634,1493
2019-04-21T09:00:00,64,26698,1557
2019-04-22T09:00:00,38,26736,1595
2019-04-23T09:00:00,38,26774,1633
2019-04-24T09:00:00,41,26815,1674
2019-04-25T09:00:00,45,26860,1719
2019-04-26T09:00:00,55,26915,1774
2019-04-27T09:00:00,56,26971,1830
2019-04-28T09:00:00,69,27040,1899
2019-04-29T09:00:00,78,27118,1977
2019-04-30T09:00:00,51,27169,2028
