Date,Download,Total,Monthly
2020-03-01T09:00:00,1799,184225,1799
2020-03-02T09:00:00,1277,185502,3076
2020-03-03T09:00:00,1803,187305,4879
2020-03-04T09:00:00,1507,188812,6386
2020-03-05T09:00:00,1987,190799,8373
2020-03-06T09:00:00,2010,192809,10383
2020-03-07T09:00:00,3136,195945,13519
2020-03-08T09:00:00,2402,198347,15921
2020-03-09T09:00:00,1589,199936,17510
2020-03-10T09:00:00,1351,201287,18861
2020-03-11T09:00:00,2894,204181,21755
2020-03-12T09:00:00,2634,206815,24389
2020-03-13T09:00:00,3412,210227,27801
2020-03-14T09:00:00,4712,214939,32513
2020-03-15T09:00:00,4964,219903,37477
2020-03-16T09:00:00,4318,224221,41795
2020-03-17T09:00:00,4171,228392,45966
2020-03-18T09:00:00,4759,233151,50725
2020-03-19T09:00:00,4411,237562,55136
2020-03-20T09:00:00,4055,241617,59191
2020-03-21T09:00:00,4396,246013,63587
2020-03-22T09:00:00,5218,251231,68805
2020-03-23T09:00:00,4128,255359,72933
2020-03-24T09:00:00,4045,259404,76978
2020-03-25T09:00:00,3808,263212,80786
2020-03-26T09:00:00,3561,266773,84347
2020-03-27T09:00:00,3470,270243,87817
2020-03-28T09:00:00,4317,274560,92134
2020-03-29T09:00:00,4243,278803,96377
2020-03-30T09:00:00,3681,282484,100058
2020-03-31T09:00:00,4075,286559,104133
