Date,Download,Total,Monthly
2019-11-01T09:00:00,381,67289,381
2019-11-02T09:00:00,544,67833,925
2019-11-03T09:00:00,477,68310,1402
2019-11-04T09:00:00,407,68717,1809
2019-11-05T09:00:00,379,69096,2188
2019-11-06T09:00:00,317,69413,2505
2019-11-07T09:00:00,298,69711,2803
2019-11-08T09:00:00,416,70127,3219
2019-11-09T09:00:00,474,70601,3693
2019-11-10T09:00:00,507,71108,4200
2019-11-11T09:00:00,370,71478,4570
2019-11-12T09:00:00,343,71821,4913
2019-11-13T09:00:00,330,72151,5243
2019-11-14T09:00:00,316,72467,5559
2019-11-15T09:00:00,281,72748,5840
2019-11-16T09:00:00,459,73207,6299
2019-11-17T09:00:00,504,73711,6803
2019-11-18T09:00:00,345,74056,7148
2019-11-19T09:00:00,348,74404,7496
2019-11-20T09:00:00,291,74695,7787
2019-11-21T09:00:00,396,75091,8183
2019-11-22T09:00:00,386,75477,8569
2019-11-23T09:00:00,476,75953,9045
2019-11-24T09:00:00,441,76394,9486
2019-11-25T09:00:00,248,76642,9734
2019-11-26T09:00:00,372,77014,10106
2019-11-27T09:00:00,361,77375,10467
2019-11-28T09:00:00,327,77702,10794
2019-11-29T09:00:00,336,78038,11130
2019-11-30T09:00:00,373,78411,11503
