Date,Download,Total,Monthly
2019-02-01T09:00:00,68,19292,68
2019-02-02T09:00:00,139,19431,207
2019-02-03T09:00:00,82,19513,289
2019-02-04T09:00:00,52,19565,341
2019-02-05T09:00:00,65,19630,406
2019-02-06T09:00:00,45,19675,451
2019-02-07T09:00:00,56,19731,507
2019-02-08T09:00:00,53,19784,560
2019-02-09T09:00:00,102,19886,662
2019-02-10T09:00:00,130,20016,792
2019-02-11T09:00:00,110,20126,902
2019-02-12T09:00:00,101,20227,1003
2019-02-13T09:00:00,152,20379,1155
2019-02-14T09:00:00,83,20462,1238
2019-02-15T09:00:00,83,20545,1321
2019-02-16T09:00:00,99,20644,1420
2019-02-17T09:00:00,77,20721,1497
2019-02-18T09:00:00,69,20790,1566
2019-02-19T09:00:00,144,20934,1710
2019-02-20T09:00:00,127,21061,1837
2019-02-21T09:00:00,104,21165,1941
2019-02-22T09:00:00,102,21267,2043
2019-02-23T09:00:00,137,21404,2180
2019-02-24T09:00:00,185,21589,2365
2019-02-25T09:00:00,118,21707,2483
2019-02-26T09:00:00,152,21859,2635
2019-02-27T09:00:00,117,21976,2752
2019-02-28T09:00:00,200,22176,2952
