Date,Download,Total,Monthly
2019-01-01T09:00:00,51,17095,51
2019-01-02T09:00:00,79,17174,130
2019-01-03T09:00:00,42,17216,172
2019-01-04T09:00:00,66,17282,238
2019-01-05T09:00:00,112,17394,350
2019-01-06T09:00:00,65,17459,415
2019-01-07T09:00:00,44,17503,459
2019-01-08T09:00:00,42,17545,501
2019-01-09T09:00:00,82,17627,583
2019-01-10T09:00:00,88,17715,671
2019-01-11T09:00:00,63,17778,734
2019-01-12T09:00:00,81,17859,815
2019-01-13T09:00:00,67,17926,882
2019-01-14T09:00:00,60,17986,942
2019-01-15T09:00:00,150,18136,1092
2019-01-16T09:00:00,52,18188,1144
2019-01-17T09:00:00,30,18218,1174
2019-01-18T09:00:00,55,18273,1229
2019-01-19T09:00:00,72,18345,1301
2019-01-20T09:00:00,88,18433,1389
2019-01-21T09:00:00,57,18490,1446
2019-01-22T09:00:00,49,18539,1495
2019-01-23T09:00:00,47,18586,1542
2019-01-24T09:00:00,114,18700,1656
2019-01-25T09:00:00,80,18780,1736
2019-01-26T09:00:00,112,18892,1848
2019-01-27T09:00:00,95,18987,1943
2019-01-28T09:00:00,67,19054,2010
2019-01-29T09:00:00,60,19114,2070
2019-01-30T09:00:00,68,19182,2138
2019-01-31T09:00:00,42,19224,2180
