Date,Download,Total,Monthly
2021-03-01T21:30:54,8,1240,8
2021-03-02T03:06:20,1,1241,9
2021-03-02T09:34:48,2,1243,11
2021-03-02T21:33:51,12,1255,23
2021-03-03T09:44:09,2,1257,25
2021-03-03T21:34:39,4,1261,29
2021-03-04T09:38:55,2,1263,31
2021-03-04T21:34:52,5,1268,36
2021-03-05T09:38:47,4,1272,40
2021-03-05T21:34:42,8,1280,48
2021-03-06T09:34:51,1,1281,49
2021-03-06T21:29:42,14,1295,63
2021-03-07T09:38:42,5,1300,68
2021-03-07T21:34:27,3,1303,71
2021-03-08T09:38:57,3,1306,74
2021-03-08T21:30:40,3,1309,77
2021-03-09T09:39:54,1,1310,78
2021-03-09T21:30:41,3,1313,81
2021-03-10T09:34:50,2,1315,83
2021-03-10T21:30:46,1,1316,84
2021-03-11T09:35:19,1,1317,85
2021-03-11T21:30:50,2,1319,87
2021-03-12T09:38:59,4,1323,91
2021-03-12T21:30:38,10,1333,101
2021-03-13T09:34:27,5,1338,106
2021-03-13T21:30:46,8,1346,114
2021-03-14T09:34:48,3,1349,117
2021-03-14T21:30:02,5,1354,122
2021-03-15T09:38:57,3,1357,125
2021-03-15T22:35:53,5,1362,130
