Date,Download,Total,Monthly
2020-04-01T09:00:00,6524,560868,6524
2020-04-02T09:00:00,6513,567381,13037
2020-04-03T09:00:00,6776,574157,19813
2020-04-04T09:00:00,7002,581159,26815
2020-04-05T09:00:00,6549,587708,33364
2020-04-06T09:00:00,7077,594785,40441
2020-04-07T09:00:00,7009,601794,47450
2020-04-08T09:00:00,6224,608018,53674
2020-04-09T09:00:00,6616,614634,60290
2020-04-10T09:00:00,6318,620952,66608
2020-04-11T09:00:00,6238,627190,72846
2020-04-12T09:00:00,6722,633912,79568
2020-04-13T09:00:00,6106,640018,85674
2020-04-14T09:00:00,6383,646401,92057
2020-04-15T09:00:00,5544,651945,97601
2020-04-16T09:00:00,5546,657491,103147
2020-04-17T09:00:00,6256,663747,109403
2020-04-18T09:00:00,7674,671421,117077
2020-04-19T09:00:00,6423,677844,123500
2020-04-20T09:00:00,6151,683995,129651
2020-04-21T09:00:00,6376,690371,136027
2020-04-22T09:00:00,7073,697444,143100
2020-04-23T09:00:00,7136,704580,150236
2020-04-24T09:00:00,6449,711029,156685
2020-04-25T09:00:00,7139,718168,163824
2020-04-26T09:00:00,6444,724612,170268
2020-04-27T09:00:00,6103,730715,176371
2020-04-28T09:00:00,6436,737151,182807
2020-04-29T09:00:00,6207,743358,189014
2020-04-30T09:00:00,5756,749114,194770
