Date,Download,Total,Monthly
2019-07-01T09:00:00,80,1635,80
2019-07-02T09:00:00,79,1714,159
2019-07-03T09:00:00,190,1904,349
2019-07-04T09:00:00,157,2061,506
2019-07-05T09:00:00,126,2187,632
2019-07-06T09:00:00,160,2347,792
2019-07-07T09:00:00,143,2490,935
2019-07-08T09:00:00,123,2613,1058
2019-07-09T09:00:00,179,2792,1237
2019-07-10T09:00:00,149,2941,1386
2019-07-11T09:00:00,167,3108,1553
2019-07-12T09:00:00,134,3242,1687
2019-07-13T09:00:00,162,3404,1849
2019-07-14T09:00:00,169,3573,2018
2019-07-15T09:00:00,146,3719,2164
2019-07-16T09:00:00,227,3946,2391
2019-07-17T09:00:00,202,4148,2593
2019-07-18T09:00:00,215,4363,2808
2019-07-19T09:00:00,194,4557,3002
2019-07-20T09:00:00,204,4761,3206
2019-07-21T09:00:00,217,4978,3423
2019-07-22T09:00:00,208,5186,3631
2019-07-23T09:00:00,90,5276,3721
2019-07-24T09:00:00,254,5530,3975
2019-07-25T09:00:00,261,5791,4236
2019-07-26T09:00:00,268,6059,4504
2019-07-27T09:00:00,270,6329,4774
2019-07-28T09:00:00,388,6717,5162
2019-07-29T09:00:00,306,7023,5468
2019-07-30T09:00:00,335,7358,5803
2019-07-31T09:00:00,315,7673,6118
