Date,Download,Total,Monthly
2020-06-01T09:00:00,3379,906250,3379
2020-06-02T09:00:00,2884,909134,6263
2020-06-03T09:00:00,2702,911836,8965
2020-06-04T09:00:00,2544,914380,11509
2020-06-05T09:00:00,3034,917414,14543
2020-06-06T09:00:00,2807,920221,17350
2020-06-07T09:00:00,2833,923054,20183
2020-06-08T09:00:00,3186,926240,23369
2020-06-09T09:00:00,2788,929028,26157
2020-06-10T09:00:00,2604,931632,28761
2020-06-11T09:00:00,2659,934291,31420
2020-06-12T09:00:00,2297,936588,33717
2020-06-13T09:00:00,2522,939110,36239
2020-06-14T09:00:00,2594,941704,38833
2020-06-15T09:00:00,2719,944423,41552
2020-06-16T09:00:00,2505,946928,44057
2020-06-17T09:00:00,2422,949350,46479
2020-06-18T09:00:00,2052,951402,48531
2020-06-19T09:00:00,2611,954013,51142
2020-06-20T09:00:00,2530,956543,53672
2020-06-21T09:00:00,2436,958979,56108
2020-06-22T09:00:00,2321,961300,58429
2020-06-23T09:00:00,2617,963917,61046
2020-06-24T09:00:00,2210,966127,63256
2020-06-25T09:00:00,2024,968151,65280
2020-06-26T09:00:00,1895,970046,67175
2020-06-27T09:00:00,2241,972287,69416
2020-06-28T09:00:00,2358,974645,71774
2020-06-29T09:00:00,2298,976943,74072
2020-06-30T09:00:00,2341,979284,76413
