Date,Download,Total,Monthly
2020-08-01T09:00:00,3482,1078195,3482
2020-08-02T09:00:00,3594,1081789,7076
2020-08-03T09:00:00,3348,1085137,10424
2020-08-04T09:00:00,3419,1088556,13843
2020-08-05T09:00:00,3473,1092029,17316
2020-08-06T09:00:00,3663,1095692,20979
2020-08-07T09:00:00,3245,1098937,24224
2020-08-08T09:00:00,3668,1102605,27892
2020-08-09T09:00:00,3568,1106173,31460
2020-08-10T09:00:00,1840,1108013,33300
2020-08-11T09:00:00,1243,1109256,34543
2020-08-12T09:00:00,2908,1112164,37451
2020-08-13T09:00:00,4191,1116355,41642
2020-08-14T09:00:00,3692,1120047,45334
2020-08-15T09:00:00,4493,1124540,49827
2020-08-16T09:00:00,3808,1128348,53635
2020-08-17T09:00:00,3021,1131369,56656
2020-08-18T09:00:00,2742,1134111,59398
2020-08-19T09:00:00,2988,1137099,62386
2020-08-20T09:00:00,3592,1140691,65978
2020-08-21T09:00:00,4135,1144826,70113
2020-08-22T09:00:00,3731,1148557,73844
2020-08-23T09:00:00,3468,1152025,77312
2020-08-24T09:00:00,2807,1154832,80119
2020-08-25T09:00:00,2807,1157639,82926
2020-08-26T09:00:00,3685,1161324,86611
2020-08-27T09:00:00,2731,1164055,89342
2020-08-28T09:00:00,2772,1166827,92114
2020-08-29T09:00:00,2969,1169796,95083
2020-08-30T09:00:00,3109,1172905,98192
2020-08-31T09:00:00,2411,1175316,100603
