Date,Download,Total,Monthly
2019-09-01T09:00:00,1597,48119,1597
2019-09-02T09:00:00,1605,49724,3202
2019-09-03T09:00:00,1229,50953,4431
2019-09-04T09:00:00,1088,52041,5519
2019-09-05T09:00:00,1132,53173,6651
2019-09-06T09:00:00,1301,54474,7952
2019-09-07T09:00:00,1592,56066,9544
2019-09-08T09:00:00,1815,57881,11359
2019-09-09T09:00:00,1214,59095,12573
2019-09-10T09:00:00,1015,60110,13588
2019-09-11T09:00:00,975,61085,14563
2019-09-12T09:00:00,1125,62210,15688
2019-09-13T09:00:00,1068,63278,16756
2019-09-14T09:00:00,1385,64663,18141
2019-09-15T09:00:00,1236,65899,19377
2019-09-16T09:00:00,1463,67362,20840
2019-09-17T09:00:00,984,68346,21824
2019-09-18T09:00:00,968,69314,22792
2019-09-19T09:00:00,958,70272,23750
2019-09-20T09:00:00,1013,71285,24763
2019-09-21T09:00:00,1078,72363,25841
2019-09-22T09:00:00,713,73076,26554
2019-09-23T09:00:00,1853,74929,28407
2019-09-24T09:00:00,1771,76700,30178
2019-09-25T09:00:00,1534,78234,31712
2019-09-26T09:00:00,1323,79557,33035
2019-09-27T09:00:00,2737,82294,35772
2019-09-28T09:00:00,2391,84685,38163
2019-09-29T09:00:00,662,85347,38825
2019-09-30T09:00:00,779,86126,39604
