Date,Download,Total,Monthly
2020-09-01T09:00:00,2264,1177580,2264
2020-09-02T09:00:00,2279,1179859,4543
2020-09-03T09:00:00,2239,1182098,6782
2020-09-04T09:00:00,2165,1184263,8947
2020-09-05T09:00:00,2668,1186931,11615
2020-09-06T09:00:00,2782,1189713,14397
2020-09-07T09:00:00,2543,1192256,16940
2020-09-08T09:00:00,2384,1194640,19324
2020-09-09T09:00:00,2466,1197106,21790
2020-09-10T09:00:00,2451,1199557,24241
2020-09-11T09:00:00,2484,1202041,26725
2020-09-12T09:00:00,3058,1205099,29783
2020-09-13T09:00:00,2986,1208085,32769
2020-09-14T09:00:00,2154,1210239,34923
2020-09-15T09:00:00,2223,1212462,37146
2020-09-16T09:00:00,1942,1214404,39088
2020-09-17T09:00:00,1872,1216276,40960
2020-09-18T09:00:00,2088,1218364,43048
2020-09-19T09:00:00,2325,1220689,45373
2020-09-20T09:00:00,2380,1223069,47753
2020-09-21T09:00:00,1825,1224894,49578
2020-09-22T09:00:00,1878,1226772,51456
2020-09-23T09:00:00,1893,1228665,53349
2020-09-24T09:00:00,1857,1230522,55206
2020-09-25T09:00:00,2083,1232605,57289
2020-09-26T09:00:00,2804,1235409,60093
2020-09-27T09:00:00,2638,1238047,62731
2020-09-28T09:00:00,1910,1239957,64641
2020-09-29T09:00:00,1845,1241802,66486
2020-09-30T09:00:00,1750,1243552,68236
