Date,Download,Total,Monthly
2019-05-06T09:00:00,1,1,1
2019-05-07T09:00:00,9,10,10
2019-05-08T09:00:00,22,32,32
2019-05-09T09:00:00,21,53,53
2019-05-10T09:00:00,14,67,67
2019-05-11T09:00:00,26,93,93
2019-05-12T09:00:00,25,118,118
2019-05-13T09:00:00,21,139,139
2019-05-14T09:00:00,16,155,155
2019-05-15T09:00:00,30,185,185
2019-05-16T09:00:00,19,204,204
2019-05-17T09:00:00,22,226,226
2019-05-18T09:00:00,39,265,265
2019-05-19T09:00:00,57,322,322
2019-05-20T09:00:00,39,361,361
2019-05-21T09:00:00,29,390,390
2019-05-22T09:00:00,25,415,415
2019-05-23T09:00:00,28,443,443
2019-05-24T09:00:00,27,470,470
2019-05-25T09:00:00,28,498,498
2019-05-26T09:00:00,29,527,527
2019-05-27T09:00:00,38,565,565
2019-05-28T09:00:00,28,593,593
2019-05-29T09:00:00,38,631,631
2019-05-30T09:00:00,34,665,665
2019-05-31T09:00:00,21,686,686
